condition,ambiguity_level,reward_prob,cue_given_reward,eval_mode,seed,reward,goal_rate,causal_target_rate,SPI,CDS,causal_action_rate,spurious_action_rate,neutral_action_rate,Q_causal,Q_spurious,Q_neutral_mean,spurious_Q_advantage,causal_Q_advantage,spurious_vs_causal_Q
clear_causality,0.0,0.95,0.5,training_distribution,0,0.914,0.936,1.0,1.0,0.760121,0.0,1.0,0.0,0.780292,0.930286,0.783712,0.146574,-0.003421,0.149994
clear_causality,0.0,0.95,0.5,decorrelated,0,0.914,0.936,1.0,1.0,0.760121,0.0,1.0,0.0,0.780292,0.930286,0.783712,0.146574,-0.003421,0.149994
clear_causality,0.0,0.95,0.5,training_distribution,1,0.934,0.956,1.0,1.0,0.756064,0.0,0.0,1.0,0.7401,0.715898,0.798083,-0.082186,-0.057984,-0.024202
clear_causality,0.0,0.95,0.5,decorrelated,1,0.934,0.956,1.0,1.0,0.756064,0.0,0.0,1.0,0.7401,0.715898,0.798083,-0.082186,-0.057984,-0.024202
clear_causality,0.0,0.95,0.5,training_distribution,2,0.934,0.956,1.0,0.0,0.727946,1.0,0.0,0.0,0.907448,0.774694,0.802119,-0.027425,0.10533,-0.132754
clear_causality,0.0,0.95,0.5,decorrelated,2,0.934,0.956,1.0,0.0,0.727946,1.0,0.0,0.0,0.907448,0.774694,0.802119,-0.027425,0.10533,-0.132754
clear_causality,0.0,0.95,0.5,training_distribution,3,0.918,0.94,1.0,1.0,0.750512,0.0,1.0,0.0,0.829345,0.933652,0.776868,0.156784,0.052477,0.104307
clear_causality,0.0,0.95,0.5,decorrelated,3,0.918,0.94,1.0,1.0,0.750512,0.0,1.0,0.0,0.829345,0.933652,0.776868,0.156784,0.052477,0.104307
clear_causality,0.0,0.95,0.5,training_distribution,4,0.924,0.946,1.0,1.0,0.762987,0.0,0.0,1.0,0.728729,0.77724,0.804097,-0.026857,-0.075368,0.048511
clear_causality,0.0,0.95,0.5,decorrelated,4,0.924,0.946,1.0,1.0,0.762987,0.0,0.0,1.0,0.728729,0.77724,0.804097,-0.026857,-0.075368,0.048511
clear_causality,0.0,0.95,0.5,training_distribution,5,0.94,0.962,1.0,0.0,0.730172,1.0,0.0,0.0,0.867354,0.736696,0.777721,-0.041025,0.089633,-0.130659
clear_causality,0.0,0.95,0.5,decorrelated,5,0.94,0.962,1.0,0.0,0.730172,1.0,0.0,0.0,0.867354,0.736696,0.777721,-0.041025,0.089633,-0.130659
clear_causality,0.0,0.95,0.5,training_distribution,6,0.934,0.956,1.0,0.0,0.706237,1.0,0.0,0.0,0.934486,0.670939,0.733376,-0.062437,0.20111,-0.263547
clear_causality,0.0,0.95,0.5,decorrelated,6,0.934,0.956,1.0,0.0,0.706237,1.0,0.0,0.0,0.934486,0.670939,0.733376,-0.062437,0.20111,-0.263547
clear_causality,0.0,0.95,0.5,training_distribution,7,0.932,0.954,1.0,1.0,0.760597,0.0,0.0,1.0,0.755864,0.72228,0.852622,-0.130342,-0.096758,-0.033584
clear_causality,0.0,0.95,0.5,decorrelated,7,0.932,0.954,1.0,1.0,0.760597,0.0,0.0,1.0,0.755864,0.72228,0.852622,-0.130342,-0.096758,-0.033584
clear_causality,0.0,0.95,0.5,training_distribution,8,0.938,0.96,1.0,1.0,0.751839,0.0,0.0,1.0,0.736978,0.686196,0.772412,-0.086216,-0.035434,-0.050783
clear_causality,0.0,0.95,0.5,decorrelated,8,0.938,0.96,1.0,1.0,0.751839,0.0,0.0,1.0,0.736978,0.686196,0.772412,-0.086216,-0.035434,-0.050783
clear_causality,0.0,0.95,0.5,training_distribution,9,0.91,0.932,1.0,0.0,0.711949,1.0,0.0,0.0,0.930678,0.794382,0.706725,0.087657,0.223953,-0.136296
clear_causality,0.0,0.95,0.5,decorrelated,9,0.91,0.932,1.0,0.0,0.711949,1.0,0.0,0.0,0.930678,0.794382,0.706725,0.087657,0.223953,-0.136296
clear_causality,0.0,0.95,0.5,training_distribution,10,0.91,0.932,1.0,1.0,0.752786,0.0,0.0,1.0,0.804816,0.788564,0.833058,-0.044494,-0.028242,-0.016252
clear_causality,0.0,0.95,0.5,decorrelated,10,0.91,0.932,1.0,1.0,0.752786,0.0,0.0,1.0,0.804816,0.788564,0.833058,-0.044494,-0.028242,-0.016252
clear_causality,0.0,0.95,0.5,training_distribution,11,0.922,0.944,1.0,1.0,0.753541,0.0,1.0,0.0,0.789861,0.92892,0.740488,0.188433,0.049373,0.13906
clear_causality,0.0,0.95,0.5,decorrelated,11,0.922,0.944,1.0,1.0,0.753541,0.0,1.0,0.0,0.789861,0.92892,0.740488,0.188433,0.049373,0.13906
clear_causality,0.0,0.95,0.5,training_distribution,12,0.936,0.958,1.0,0.0,0.729748,1.0,0.0,0.0,0.862225,0.804446,0.732159,0.072287,0.130065,-0.057779
clear_causality,0.0,0.95,0.5,decorrelated,12,0.936,0.958,1.0,0.0,0.729748,1.0,0.0,0.0,0.862225,0.804446,0.732159,0.072287,0.130065,-0.057779
clear_causality,0.0,0.95,0.5,training_distribution,13,0.942,0.964,1.0,1.0,0.759334,0.0,0.0,1.0,0.738405,0.779336,0.791915,-0.012578,-0.053509,0.040931
clear_causality,0.0,0.95,0.5,decorrelated,13,0.942,0.964,1.0,1.0,0.759334,0.0,0.0,1.0,0.738405,0.779336,0.791915,-0.012578,-0.053509,0.040931
clear_causality,0.0,0.95,0.5,training_distribution,14,0.922,0.944,1.0,1.0,0.754971,0.0,0.0,1.0,0.803703,0.768909,0.857163,-0.088255,-0.053461,-0.034794
clear_causality,0.0,0.95,0.5,decorrelated,14,0.922,0.944,1.0,1.0,0.754971,0.0,0.0,1.0,0.803703,0.768909,0.857163,-0.088255,-0.053461,-0.034794
clear_causality,0.0,0.95,0.5,training_distribution,15,0.932,0.954,1.0,1.0,0.75501,0.0,1.0,0.0,0.758222,0.88411,0.731695,0.152416,0.026527,0.125889
clear_causality,0.0,0.95,0.5,decorrelated,15,0.932,0.954,1.0,1.0,0.75501,0.0,1.0,0.0,0.758222,0.88411,0.731695,0.152416,0.026527,0.125889
clear_causality,0.0,0.95,0.5,training_distribution,16,0.926,0.948,1.0,0.0,0.720184,1.0,0.0,0.0,0.901307,0.688595,0.776398,-0.087803,0.124909,-0.212713
clear_causality,0.0,0.95,0.5,decorrelated,16,0.926,0.948,1.0,0.0,0.720184,1.0,0.0,0.0,0.901307,0.688595,0.776398,-0.087803,0.124909,-0.212713
clear_causality,0.0,0.95,0.5,training_distribution,17,0.932,0.954,1.0,1.0,0.744257,0.0,0.0,1.0,0.82883,0.784355,0.798054,-0.013699,0.030776,-0.044475
clear_causality,0.0,0.95,0.5,decorrelated,17,0.932,0.954,1.0,1.0,0.744257,0.0,0.0,1.0,0.82883,0.784355,0.798054,-0.013699,0.030776,-0.044475
clear_causality,0.0,0.95,0.5,training_distribution,18,0.902,0.924,1.0,1.0,0.796194,0.0,1.0,0.0,0.540583,0.875453,0.767243,0.10821,-0.22666,0.33487
clear_causality,0.0,0.95,0.5,decorrelated,18,0.902,0.924,1.0,1.0,0.796194,0.0,1.0,0.0,0.540583,0.875453,0.767243,0.10821,-0.22666,0.33487
clear_causality,0.0,0.95,0.5,training_distribution,19,0.926,0.948,1.0,0.0,0.731511,1.0,0.0,0.0,0.862899,0.728005,0.785324,-0.057319,0.077574,-0.134893
clear_causality,0.0,0.95,0.5,decorrelated,19,0.926,0.948,1.0,0.0,0.731511,1.0,0.0,0.0,0.862899,0.728005,0.785324,-0.057319,0.077574,-0.134893
clear_causality,0.0,0.95,0.5,training_distribution,20,0.92,0.942,1.0,0.0,0.712711,1.0,0.0,0.0,0.938832,0.786651,0.728911,0.05774,0.209922,-0.152182
clear_causality,0.0,0.95,0.5,decorrelated,20,0.92,0.942,1.0,0.0,0.712711,1.0,0.0,0.0,0.938832,0.786651,0.728911,0.05774,0.209922,-0.152182
clear_causality,0.0,0.95,0.5,training_distribution,21,0.924,0.946,1.0,0.0,0.734738,1.0,0.0,0.0,0.833836,0.782113,0.738608,0.043505,0.095228,-0.051723
clear_causality,0.0,0.95,0.5,decorrelated,21,0.924,0.946,1.0,0.0,0.734738,1.0,0.0,0.0,0.833836,0.782113,0.738608,0.043505,0.095228,-0.051723
clear_causality,0.0,0.95,0.5,training_distribution,22,0.926,0.948,1.0,0.0,0.719405,1.0,0.0,0.0,0.939873,0.773659,0.787142,-0.013483,0.152731,-0.166213
clear_causality,0.0,0.95,0.5,decorrelated,22,0.926,0.948,1.0,0.0,0.719405,1.0,0.0,0.0,0.939873,0.773659,0.787142,-0.013483,0.152731,-0.166213
clear_causality,0.0,0.95,0.5,training_distribution,23,0.912,0.934,1.0,1.0,0.759683,0.0,0.0,1.0,0.772113,0.777762,0.844457,-0.066695,-0.072344,0.005649
clear_causality,0.0,0.95,0.5,decorrelated,23,0.912,0.934,1.0,1.0,0.759683,0.0,0.0,1.0,0.772113,0.777762,0.844457,-0.066695,-0.072344,0.005649
clear_causality,0.0,0.95,0.5,training_distribution,24,0.934,0.956,1.0,0.0,0.74222,1.0,0.0,0.0,0.80689,0.781911,0.757579,0.024331,0.049311,-0.024979
clear_causality,0.0,0.95,0.5,decorrelated,24,0.934,0.956,1.0,0.0,0.74222,1.0,0.0,0.0,0.80689,0.781911,0.757579,0.024331,0.049311,-0.024979
clear_causality,0.0,0.95,0.5,training_distribution,25,0.928,0.95,1.0,0.0,0.730176,1.0,0.0,0.0,0.889719,0.826823,0.76526,0.061563,0.12446,-0.062897
clear_causality,0.0,0.95,0.5,decorrelated,25,0.928,0.95,1.0,0.0,0.730176,1.0,0.0,0.0,0.889719,0.826823,0.76526,0.061563,0.12446,-0.062897
clear_causality,0.0,0.95,0.5,training_distribution,26,0.934,0.956,1.0,1.0,0.751084,0.0,0.0,1.0,0.802845,0.777859,0.821722,-0.043863,-0.018878,-0.024985
clear_causality,0.0,0.95,0.5,decorrelated,26,0.934,0.956,1.0,1.0,0.751084,0.0,0.0,1.0,0.802845,0.777859,0.821722,-0.043863,-0.018878,-0.024985
clear_causality,0.0,0.95,0.5,training_distribution,27,0.932,0.954,1.0,0.0,0.728968,1.0,0.0,0.0,0.878497,0.74168,0.782786,-0.041105,0.095711,-0.136816
clear_causality,0.0,0.95,0.5,decorrelated,27,0.932,0.954,1.0,0.0,0.728968,1.0,0.0,0.0,0.878497,0.74168,0.782786,-0.041105,0.095711,-0.136816
clear_causality,0.0,0.95,0.5,training_distribution,28,0.932,0.954,1.0,0.0,0.713986,1.0,0.0,0.0,0.936138,0.791947,0.731555,0.060392,0.204583,-0.14419
clear_causality,0.0,0.95,0.5,decorrelated,28,0.932,0.954,1.0,0.0,0.713986,1.0,0.0,0.0,0.936138,0.791947,0.731555,0.060392,0.204583,-0.14419
clear_causality,0.0,0.95,0.5,training_distribution,29,0.926,0.948,1.0,1.0,0.752492,0.0,1.0,0.0,0.762377,0.84459,0.739356,0.105234,0.023021,0.082213
clear_causality,0.0,0.95,0.5,decorrelated,29,0.926,0.948,1.0,1.0,0.752492,0.0,1.0,0.0,0.762377,0.84459,0.739356,0.105234,0.023021,0.082213
moderate_ambiguity,1.0,0.7,0.75,training_distribution,0,0.656,0.678,1.0,1.0,0.762566,0.0,1.0,0.0,0.691505,0.877109,0.694323,0.182786,-0.002818,0.185604
moderate_ambiguity,1.0,0.7,0.75,decorrelated,0,0.656,0.678,1.0,1.0,0.762566,0.0,1.0,0.0,0.691505,0.877109,0.694323,0.182786,-0.002818,0.185604
moderate_ambiguity,1.0,0.7,0.75,training_distribution,1,0.692,0.714,1.0,0.0,0.71625,1.0,0.0,0.0,0.842327,0.631803,0.688051,-0.056248,0.154276,-0.210525
moderate_ambiguity,1.0,0.7,0.75,decorrelated,1,0.692,0.714,1.0,0.0,0.71625,1.0,0.0,0.0,0.842327,0.631803,0.688051,-0.056248,0.154276,-0.210525
moderate_ambiguity,1.0,0.7,0.75,training_distribution,2,0.696,0.718,1.0,0.0,0.722312,1.0,0.0,0.0,0.834772,0.667667,0.703945,-0.036278,0.130827,-0.167104
moderate_ambiguity,1.0,0.7,0.75,decorrelated,2,0.696,0.718,1.0,0.0,0.722312,1.0,0.0,0.0,0.834772,0.667667,0.703945,-0.036278,0.130827,-0.167104
moderate_ambiguity,1.0,0.7,0.75,training_distribution,3,0.686,0.708,1.0,1.0,0.74567,0.0,1.0,0.0,0.760288,0.786196,0.711735,0.074461,0.048554,0.025907
moderate_ambiguity,1.0,0.7,0.75,decorrelated,3,0.686,0.708,1.0,1.0,0.74567,0.0,1.0,0.0,0.760288,0.786196,0.711735,0.074461,0.048554,0.025907
moderate_ambiguity,1.0,0.7,0.75,training_distribution,4,0.704,0.726,1.0,1.0,0.753693,0.0,0.0,1.0,0.708014,0.664427,0.754006,-0.089579,-0.045992,-0.043587
moderate_ambiguity,1.0,0.7,0.75,decorrelated,4,0.704,0.726,1.0,1.0,0.753693,0.0,0.0,1.0,0.708014,0.664427,0.754006,-0.089579,-0.045992,-0.043587
moderate_ambiguity,1.0,0.7,0.75,training_distribution,5,0.664,0.686,1.0,1.0,0.747206,0.0,0.0,1.0,0.721482,0.648759,0.733741,-0.084982,-0.012259,-0.072723
moderate_ambiguity,1.0,0.7,0.75,decorrelated,5,0.664,0.686,1.0,1.0,0.747206,0.0,0.0,1.0,0.721482,0.648759,0.733741,-0.084982,-0.012259,-0.072723
moderate_ambiguity,1.0,0.7,0.75,training_distribution,6,0.716,0.738,1.0,0.0,0.705494,1.0,0.0,0.0,0.879356,0.557691,0.699156,-0.141466,0.1802,-0.321666
moderate_ambiguity,1.0,0.7,0.75,decorrelated,6,0.716,0.738,1.0,0.0,0.705494,1.0,0.0,0.0,0.879356,0.557691,0.699156,-0.141466,0.1802,-0.321666
moderate_ambiguity,1.0,0.7,0.75,training_distribution,7,0.672,0.694,1.0,0.0,0.728298,1.0,0.0,0.0,0.834697,0.704603,0.730708,-0.026105,0.103989,-0.130094
moderate_ambiguity,1.0,0.7,0.75,decorrelated,7,0.672,0.694,1.0,0.0,0.728298,1.0,0.0,0.0,0.834697,0.704603,0.730708,-0.026105,0.103989,-0.130094
moderate_ambiguity,1.0,0.7,0.75,training_distribution,8,0.678,0.7,1.0,1.0,0.744932,0.0,0.0,1.0,0.687852,0.540107,0.713543,-0.173436,-0.025691,-0.147746
moderate_ambiguity,1.0,0.7,0.75,decorrelated,8,0.678,0.7,1.0,1.0,0.744932,0.0,0.0,1.0,0.687852,0.540107,0.713543,-0.173436,-0.025691,-0.147746
moderate_ambiguity,1.0,0.7,0.75,training_distribution,9,0.636,0.658,1.0,0.0,0.732133,1.0,0.0,0.0,0.824994,0.772572,0.710544,0.062029,0.11445,-0.052422
moderate_ambiguity,1.0,0.7,0.75,decorrelated,9,0.636,0.658,1.0,0.0,0.732133,1.0,0.0,0.0,0.824994,0.772572,0.710544,0.062029,0.11445,-0.052422
moderate_ambiguity,1.0,0.7,0.75,training_distribution,10,0.66,0.682,1.0,0.0,0.709042,1.0,0.0,0.0,0.854275,0.702943,0.613797,0.089146,0.240479,-0.151333
moderate_ambiguity,1.0,0.7,0.75,decorrelated,10,0.66,0.682,1.0,0.0,0.709042,1.0,0.0,0.0,0.854275,0.702943,0.613797,0.089146,0.240479,-0.151333
moderate_ambiguity,1.0,0.7,0.75,training_distribution,11,0.692,0.714,1.0,0.0,0.696776,1.0,0.0,0.0,0.889695,0.647804,0.607271,0.040532,0.282424,-0.241891
moderate_ambiguity,1.0,0.7,0.75,decorrelated,11,0.692,0.714,1.0,0.0,0.696776,1.0,0.0,0.0,0.889695,0.647804,0.607271,0.040532,0.282424,-0.241891
moderate_ambiguity,1.0,0.7,0.75,training_distribution,12,0.664,0.686,1.0,0.0,0.740034,1.0,0.0,0.0,0.745254,0.707866,0.684765,0.023101,0.060489,-0.037388
moderate_ambiguity,1.0,0.7,0.75,decorrelated,12,0.664,0.686,1.0,0.0,0.740034,1.0,0.0,0.0,0.745254,0.707866,0.684765,0.023101,0.060489,-0.037388
moderate_ambiguity,1.0,0.7,0.75,training_distribution,13,0.682,0.704,1.0,1.0,0.761533,0.0,0.0,1.0,0.699842,0.76929,0.757259,0.012031,-0.057417,0.069448
moderate_ambiguity,1.0,0.7,0.75,decorrelated,13,0.682,0.704,1.0,1.0,0.761533,0.0,0.0,1.0,0.699842,0.76929,0.757259,0.012031,-0.057417,0.069448
moderate_ambiguity,1.0,0.7,0.75,training_distribution,14,0.694,0.716,1.0,1.0,0.758748,0.0,0.0,1.0,0.691065,0.685647,0.762595,-0.076948,-0.07153,-0.005418
moderate_ambiguity,1.0,0.7,0.75,decorrelated,14,0.694,0.716,1.0,1.0,0.758748,0.0,0.0,1.0,0.691065,0.685647,0.762595,-0.076948,-0.07153,-0.005418
moderate_ambiguity,1.0,0.7,0.75,training_distribution,15,0.712,0.734,1.0,1.0,0.766091,0.0,1.0,0.0,0.667733,0.911967,0.666719,0.245248,0.001013,0.244235
moderate_ambiguity,1.0,0.7,0.75,decorrelated,15,0.712,0.734,1.0,1.0,0.766091,0.0,1.0,0.0,0.667733,0.911967,0.666719,0.245248,0.001013,0.244235
moderate_ambiguity,1.0,0.7,0.75,training_distribution,16,0.676,0.698,1.0,0.0,0.727657,1.0,0.0,0.0,0.802263,0.681125,0.688901,-0.007776,0.113362,-0.121138
moderate_ambiguity,1.0,0.7,0.75,decorrelated,16,0.676,0.698,1.0,0.0,0.727657,1.0,0.0,0.0,0.802263,0.681125,0.688901,-0.007776,0.113362,-0.121138
moderate_ambiguity,1.0,0.7,0.75,training_distribution,17,0.696,0.718,1.0,1.0,0.749676,0.0,1.0,0.0,0.727311,0.862569,0.649268,0.213301,0.078042,0.135259
moderate_ambiguity,1.0,0.7,0.75,decorrelated,17,0.696,0.718,1.0,1.0,0.749676,0.0,1.0,0.0,0.727311,0.862569,0.649268,0.213301,0.078042,0.135259
moderate_ambiguity,1.0,0.7,0.75,training_distribution,18,0.666,0.688,1.0,1.0,0.769298,0.0,0.0,1.0,0.592106,0.648676,0.717545,-0.068869,-0.125439,0.05657
moderate_ambiguity,1.0,0.7,0.75,decorrelated,18,0.666,0.688,1.0,1.0,0.769298,0.0,0.0,1.0,0.592106,0.648676,0.717545,-0.068869,-0.125439,0.05657
moderate_ambiguity,1.0,0.7,0.75,training_distribution,19,0.682,0.704,1.0,1.0,0.755497,0.0,0.0,1.0,0.691016,0.700014,0.730584,-0.03057,-0.039569,0.008998
moderate_ambiguity,1.0,0.7,0.75,decorrelated,19,0.682,0.704,1.0,1.0,0.755497,0.0,0.0,1.0,0.691016,0.700014,0.730584,-0.03057,-0.039569,0.008998
moderate_ambiguity,1.0,0.7,0.75,training_distribution,20,0.666,0.688,1.0,1.0,0.759851,0.0,0.0,1.0,0.696864,0.676416,0.780029,-0.103614,-0.083165,-0.020449
moderate_ambiguity,1.0,0.7,0.75,decorrelated,20,0.666,0.688,1.0,1.0,0.759851,0.0,0.0,1.0,0.696864,0.676416,0.780029,-0.103614,-0.083165,-0.020449
moderate_ambiguity,1.0,0.7,0.75,training_distribution,21,0.69,0.712,1.0,1.0,0.75135,0.0,1.0,0.0,0.692495,0.765327,0.664279,0.101047,0.028216,0.072831
moderate_ambiguity,1.0,0.7,0.75,decorrelated,21,0.69,0.712,1.0,1.0,0.75135,0.0,1.0,0.0,0.692495,0.765327,0.664279,0.101047,0.028216,0.072831
moderate_ambiguity,1.0,0.7,0.75,training_distribution,22,0.68,0.702,1.0,0.0,0.71625,1.0,0.0,0.0,0.8634,0.700104,0.685988,0.014116,0.177412,-0.163297
moderate_ambiguity,1.0,0.7,0.75,decorrelated,22,0.68,0.702,1.0,0.0,0.71625,1.0,0.0,0.0,0.8634,0.700104,0.685988,0.014116,0.177412,-0.163297
moderate_ambiguity,1.0,0.7,0.75,training_distribution,23,0.67,0.692,1.0,1.0,0.759787,0.0,0.0,1.0,0.68027,0.670924,0.761802,-0.090878,-0.081532,-0.009347
moderate_ambiguity,1.0,0.7,0.75,decorrelated,23,0.67,0.692,1.0,1.0,0.759787,0.0,0.0,1.0,0.68027,0.670924,0.761802,-0.090878,-0.081532,-0.009347
moderate_ambiguity,1.0,0.7,0.75,training_distribution,24,0.678,0.7,1.0,1.0,0.757187,0.0,0.0,1.0,0.66957,0.688178,0.71802,-0.029842,-0.04845,0.018608
moderate_ambiguity,1.0,0.7,0.75,decorrelated,24,0.678,0.7,1.0,1.0,0.757187,0.0,0.0,1.0,0.66957,0.688178,0.71802,-0.029842,-0.04845,0.018608
moderate_ambiguity,1.0,0.7,0.75,training_distribution,25,0.652,0.674,1.0,1.0,0.748824,0.0,1.0,0.0,0.71033,0.795954,0.651763,0.144191,0.058567,0.085624
moderate_ambiguity,1.0,0.7,0.75,decorrelated,25,0.652,0.674,1.0,1.0,0.748824,0.0,1.0,0.0,0.71033,0.795954,0.651763,0.144191,0.058567,0.085624
moderate_ambiguity,1.0,0.7,0.75,training_distribution,26,0.654,0.676,1.0,1.0,0.742473,0.0,0.0,1.0,0.745407,0.687883,0.709907,-0.022024,0.0355,-0.057524
moderate_ambiguity,1.0,0.7,0.75,decorrelated,26,0.654,0.676,1.0,1.0,0.742473,0.0,0.0,1.0,0.745407,0.687883,0.709907,-0.022024,0.0355,-0.057524
moderate_ambiguity,1.0,0.7,0.75,training_distribution,27,0.712,0.734,1.0,1.0,0.755376,0.0,0.0,1.0,0.706106,0.68369,0.758809,-0.07512,-0.052704,-0.022416
moderate_ambiguity,1.0,0.7,0.75,decorrelated,27,0.712,0.734,1.0,1.0,0.755376,0.0,0.0,1.0,0.706106,0.68369,0.758809,-0.07512,-0.052704,-0.022416
moderate_ambiguity,1.0,0.7,0.75,training_distribution,28,0.676,0.698,1.0,1.0,0.751477,0.0,0.0,1.0,0.738566,0.703635,0.75782,-0.054185,-0.019254,-0.03493
moderate_ambiguity,1.0,0.7,0.75,decorrelated,28,0.676,0.698,1.0,1.0,0.751477,0.0,0.0,1.0,0.738566,0.703635,0.75782,-0.054185,-0.019254,-0.03493
