feature_condition,seed,acquisition_proxy_dependence_final,reversal_proxy_dependence_initial,reversal_proxy_dependence_final,extinction_proxy_dependence_initial,extinction_proxy_dependence_final,reversal_adaptation_half_life,extinction_half_life,superstition_persistence_index
phase_only,0,-0.000534,-0.020668,0.013343,0.004,0.006667,-1,-1,
phase_only,1,-0.006416,0.011792,0.000804,0.007867,0.013871,100,400,
phase_only,2,-0.003467,-0.002416,-0.008006,-0.010135,-0.03508,500,100,
phase_only,3,0.0008,-0.000267,-0.000267,0.017608,0.013068,1,300,
phase_only,4,0.012047,-0.0024,0.010671,-0.009069,0.024557,1,300,
phase_only,5,-0.001334,-0.014121,0.017469,0.010133,-0.006,100,600,
phase_only,6,-0.002933,0.00174,-0.00523,0.010267,-0.008003,700,200,
phase_only,7,-0.001333,0.002001,0.013022,-0.018134,-0.014134,800,300,
phase_only,8,-0.000536,0.001868,-0.006936,0.010401,0.01228,1300,-1,
phase_only,9,0.0032,0.010959,-0.005072,-0.004268,0.020553,600,900,
proxy_only,0,0.0,0.0,-1.0,-1.0,-1.0,0,-1,
proxy_only,1,0.0,0.0,0.0,0.0,-1.0,0,0,
proxy_only,2,1.0,1.0,0.0,0.0,-1.0,400,0,0.833333
proxy_only,3,0.0,0.0,-1.0,-1.0,-1.0,0,-1,
proxy_only,4,0.0,0.0,-1.0,-1.0,-1.0,0,-1,
proxy_only,5,1.0,1.0,-1.0,-1.0,-1.0,500,-1,1.0
proxy_only,6,1.0,1.0,0.0,0.0,0.0,400,0,0.0
proxy_only,7,1.0,1.0,0.0,0.0,0.0,400,0,0.0
proxy_only,8,1.0,1.0,0.0,0.0,-1.0,500,0,0.833333
proxy_only,9,0.0,0.0,-1.0,-1.0,-1.0,0,-1,
phase_plus_proxy,0,1.0,1.0,-0.900649,-0.892905,-0.609934,400,-1,0.764646
phase_plus_proxy,1,0.902388,0.899128,-0.899254,-0.901816,-0.697895,500,-1,0.874424
phase_plus_proxy,2,1.0,1.0,-0.901948,-0.903162,-0.617267,500,-1,0.769043
phase_plus_proxy,3,1.0,1.0,-0.898862,-0.899183,-0.693396,500,-1,0.762215
phase_plus_proxy,4,0.899624,0.902181,-0.899346,-0.890564,-0.594632,500,1200,0.851802
phase_plus_proxy,5,0.898438,0.897869,-0.897505,-0.894071,-0.616722,500,-1,0.875958
phase_plus_proxy,6,0.899467,0.898806,-0.900806,-0.896736,-0.604082,600,-1,0.867728
phase_plus_proxy,7,0.898271,1.0,-0.800708,-0.801856,-0.599462,500,-1,0.833761
phase_plus_proxy,8,0.899626,0.901774,-0.89856,-0.892785,-0.599096,700,-1,0.823523
phase_plus_proxy,9,1.0,1.0,-0.903581,-0.894634,-0.589409,400,-1,0.796598
phase_sin_cos_plus_proxy,0,0.597189,0.589534,-1.0,-1.0,-0.503365,500,1400,1.534135
phase_sin_cos_plus_proxy,1,0.501469,0.504131,-0.89727,-0.896233,-0.397171,500,1100,1.624719
phase_sin_cos_plus_proxy,2,0.504795,0.500139,-0.899315,-0.903509,-0.597867,500,-1,1.486068
phase_sin_cos_plus_proxy,3,0.504566,0.500953,-1.0,-1.0,-0.398388,500,1200,1.709833
phase_sin_cos_plus_proxy,4,0.605655,0.597065,-0.895918,-0.897558,-0.515689,400,-1,1.513932
phase_sin_cos_plus_proxy,5,0.600207,0.592077,-0.900461,-0.894596,-0.612709,500,-1,1.582546
phase_sin_cos_plus_proxy,6,0.503458,0.508461,-0.902668,-0.889927,-0.689796,500,-1,1.618499
phase_sin_cos_plus_proxy,7,0.598667,0.603347,-0.898006,-0.900738,-0.487658,500,-1,1.55474
phase_sin_cos_plus_proxy,8,0.500361,0.499081,-0.898098,-0.895847,-0.613299,500,-1,1.765967
phase_sin_cos_plus_proxy,9,0.605311,0.604112,-0.900517,-1.0,-0.394321,400,700,1.290558
full_current_features,0,1.0,1.0,-0.900649,-0.892905,-0.701987,400,-1,0.617617
full_current_features,1,1.0,0.897883,-0.799129,-0.801614,-0.700611,500,-1,0.615512
full_current_features,2,0.898093,0.899129,-1.0,-1.0,-0.78586,500,-1,0.782383
full_current_features,3,1.0,1.0,-0.802781,-0.797003,-0.692722,400,500,0.610242
full_current_features,4,0.902133,0.799736,-0.694771,-0.704456,-0.713696,500,-1,0.647824
full_current_features,5,0.900391,0.900073,-1.0,-1.0,-0.397993,500,500,0.834198
full_current_features,6,0.902796,1.0,-0.802232,-0.800133,-0.792517,400,-1,0.70165
full_current_features,7,1.0,1.0,-0.697524,-0.706428,-0.799731,300,-1,0.567627
full_current_features,8,0.897756,0.899727,-1.0,-1.0,-0.70949,600,-1,0.77279
full_current_features,9,0.800805,0.803221,-0.801653,-0.700262,-0.593535,400,-1,0.72582
full_features_with_noise,0,0.973451,0.978245,-0.891558,-0.910308,-0.727152,400,-1,0.644969
full_features_with_noise,1,0.912219,0.872976,-0.863184,-0.854741,-0.688391,500,-1,0.696899
full_features_with_noise,2,0.918475,0.906386,-0.734416,-0.752964,-0.711081,400,-1,0.631872
full_features_with_noise,3,0.895958,0.873713,-0.790139,-0.777248,-0.698787,400,-1,0.722282
full_features_with_noise,4,1.0,1.0,-1.0,-1.0,-0.481762,500,600,0.856117
full_features_with_noise,5,0.949219,0.98604,-1.0,-1.0,-0.633445,500,500,0.793272
full_features_with_noise,6,0.973369,0.972973,-0.800372,-0.806795,-0.808844,400,-1,0.65396
full_features_with_noise,7,0.990691,0.979438,-0.708726,-0.719682,-0.84207,400,-1,0.596565
full_features_with_noise,8,0.935162,0.939291,-0.747382,-0.740391,-0.717883,600,-1,0.6376
full_features_with_noise,9,0.839705,0.852241,-0.763774,-0.749346,-0.684319,400,-1,0.735322
